Total_Revenue,Total_Orders,Total_Quantity
804.88,2,694
5678.16,7,3238
490.0,2,337
2930.41,4,1949
141.0,1,1
8283.81,12,4257
921.49,2,663
1312.37,3,631
1174.58,3,311
185.9,1,72
1013.26,3,552
8304.82,12,4665
1918.49,4,1032
3539.3,8,2125
1346.97,2,897
16955.55,36,6633
1112.0,4,518
2294.65,8,1959
314.44,1,254
377.75,4,265
1017.03,2,536
4160.83,3,1681
601.98,5,264
261.35,1,80
6407.83,8,2860
1643.18,4,1044
686.05,1,320
91.68,1,105
245.1,1,127
162.0,1,216
6726.54,20,3424
239.4,2,181
6070.04,11,1495
313.6,3,165
1248.42,1,370
620.13,1,395
11383.03,10,5049
2744.0299999999997,3,1115
3760.29,7,1627
2622.481,1,1460
437.05,2,138
1230.02,3,700
1970.6,4,1133
957.25,2,336
2843.09,11,1867
395.1,2,176
34281.18,21,22372
1113.02,4,554
880.81,4,444
29834.76,45,17011
22950.22,52,10522
11633.7,21,7019
2283.63,7,1985
2863.08,6,1523
89.14,1,107
2138.91,2,1403
4873.8099999999995,1,3028
1247.61,2,628
389.01,1,106
1170.4,7,445
110.95,1,36
1703.02,7,536
1843.35,3,1355
1407.1200000000001,7,454
851.91,2,564
957.59,3,508
339.75,1,111
638.11,1,373
4939.99,4,2967
2446.41,6,1727
219.0,1,53
1006.53,4,595
2340.84,8,1006
11762.1,14,7188
603.42,1,256
5117.66,18,2432
30291.76,34,13772
1149.02,3,851
1339.05,2,770
6723.03,21,2205
848.55,1,508
14093.71,12,8774
343.36,1,192
1053.49,2,708
1308.91,3,600
238.25,1,203
644.95,2,374
7787.28,30,6018
4013.08,8,2655
997.63,4,566
725.07,5,434
2317.52,7,1379
2266.76,4,1142
4014.6,11,4618
5679.53,10,2832
1070.17,5,543
453.01,1,233
829.25,1,234
25775.71,17,11641
236.26000000000002,1,111
2424.87,4,896
639.65,3,265
779.5699999999999,2,368
234.0,1,173
3710.5,2,2
155.35,1,148
2726.73,4,951
427.6,1,342
406.07,2,214
1201.52,1,1359
540.13,2,315
25317.06,11,6994
925.41,3,468
254.55,1,97
8898.48,26,2640
53539.64,336,37109
6897.36,9,2360
275.88,1,137
268.27,1,189
4366.78,1,2262
21429.39,6,11421
3010.74,3,6481
5236.259999999999,11,2293
112.07999999999998,1,144
7834.650000000001,13,2395
9903.24,7,6155
5020.74,8,3202
347.8,1,198
782.95,2,281
1898.52,2,1227
494.08,2,316
1693.88,1,386
1404.58,6,1009
8918.99,9,5022
949.82,1,598
168.69000000000003,1,102
1143.6,1,356
3246.45,2,1843
282.3,1,104
892.47,1,556
124.25,1,109
98.7,1,53
1686.12,7,1083
55.5,1,46
519.45,1,458
1775.68,9,1735
6474.11,14,3501
337.4,1,285
826.74,2,671
4618.24,11,2017
2225.91,6,624
1763.15,3,862
1100.4,3,453
728.5,1,324
862.18,4,510
444.9,4,194
273.35,3,36
591.85,2,306
863.51,6,353
827.01,2,394
885.53,3,461
860.41,2,592
430.48,1,68
381.0,1,182
552.08,2,215
8510.93,4,8455
219.35,1,137
584.25,3,284
1071.82,1,505
2416.42,7,1972
1092.81,1,872
325.37,2,270
1434.95,4,593
2878.96,4,2087
330.35,1,145
776.7,5,322
1755.94,3,518
534.99,2,389
1033.9,5,435
229.64000000000001,1,164
1687.8,3,1141
125.92,1,49
1063.46,2,379
572.2,2,128
690.98,3,219
1542.08,1,929
540.52,1,344
2689.52,11,1964
220.8,2,162
948.88,2,550
6501.5,18,930
397.12,1,232
518.63,2,139
2800.75,12,1915
430.15000000000003,3,197
1018.71,6,494
385.3,3,550
6814.64,6,9848
451.11,3,303
383.03,2,195
417.38,1,156
312.38,1,110
5996.83,41,2349
6559.7300000000005,15,2231
662.66,2,194
2975.91,10,1606
9669.12,26,6578
4041.97,7,2258
6958.2,40,5008
1917.99,4,887
6583.36,30,3028
648.6,4,223
354.09,4,204
15.58,1,1
1609.0,2,1497
208.0,1,58
3042.47,6,1855
330.0,1,200
280.76,2,157
311.55,1,149
3907.5,11,1668
2970.9700000000003,7,1630
612.84,4,240
2170.78,6,1076
3688.0,6,1420
147.27,1,51
575.1,1,292
54.22,1,26
68.25,1,27
984.62,2,611
2792.5499999999997,6,895
299.57,2,447
3323.47,4,1973
1227.35,3,553
7829.26,13,7876
2043.76,8,1170
337.66999999999996,1,144
1676.95,3,906
744.02,3,484
3283.96,12,1642
2027.3,3,786
948.42,2,623
1356.99,5,5187
4081.79,4,3047
2942.14,20,2237
854.99,2,547
573.22,3,370
640.13,2,279
298.0,1,21
1463.04,2,246
703.47,4,196
309.05,1,43
1175.22,3,655
1378.4,2,770
222.4,1,100
354.12,2,76
385.46000000000004,4,124
706.02,2,457
840.5,11,2325
263.38,1,140
176.55,1,90
157.35,1,33
372.8,2,210
514.25,4,249
296.21000000000004,2,235
366.4,1,108
340.33,1,139
17654.54,28,23075
138.68,1,66
833.53,1,493
496.06,2,294
1018.42,2,532
2919.81,5,1749
508.91,2,177
1776.0,5,3000
3103.19,8,1948
5796.52,13,3632
1651.72,1,807
1662.3,5,670
6283.24,13,3086
223.98,1,336
975.1,4,411
4479.73,7,1681
4359.2,6,1104
10953.5,1,1
1335.19,6,673
486.64,4,420
35233.24,74,21328
405.38,1,370
770.42,3,230
2469.4,12,1423
729.3299999999999,3,649
1523.97,4,754
197.31,1,145
4304.89,12,2899
117.85,1,37
415.8,2,252
92347.34,57,62906
1698.56,8,1609
1636.6299999999999,8,949
181.65,1,31
4243.86,15,3201
1063.9,4,559
3097.61,9,1983
114.14,1,140
25264.8,20,10328
899.69,2,404
377.49,1,381
675.6,3,198
496.5,2,222
604.51,2,289
900.11,2,446
324.45,1,149
1603.99,6,1165
2317.43,9,1304
15526.7,22,8233
1843.0,3,1380
3213.7200000000003,15,1662
1387.79,4,653
828.8100000000001,2,364
162.45,1,83
4757.16,11,3664
521.89,4,340
8706.97,13,4686
467.34,2,118
150.95,1,109
1322.07,4,1379
211.99,1,180
266.39,2,129
3235.79,12,1637
132.24,1,56
769.8100000000001,1,282
160.18,1,75
2938.52,3,912
135.95,1,73
122.45,1,55
1453.6,10,954
15704.6,116,14306
1161.2,4,844
385.55,1,31
408.95,2,104
2100.09,6,911
3156.38,8,2684
513.88,4,128
2502.82,5,1394
517.7,1,520
16245.78,21,1910
372.21999999999997,2,242
2744.81,8,1729
490.08000000000004,1,638
97.5,1,26
1239.38,2,1533
2729.84,10,1164
1312.21,5,585
505.82,1,126
13551.75,33,6935
955.5,7,480
764.82,3,483
93.35000000000001,1,21
1259.6299999999999,8,751
974.4200000000001,3,459
211.32,1,108
355.5,1,122
2110.91,8,1186
920.08,3,1124
455.88,3,342
1032.5,4,548
24042.65,33,13448
414.13,3,201
149.05,3,103
11650.85,36,8768
999.68,4,462
81.57,1,55
175.25,1,59
612.13,3,379
234.0,1,120
330.12,2,323
50.550000000000004,1,13
2957.83,11,1559
11097.43,29,5661
5381.08,11,1979
6579.78,11,3527
789.89,3,527
204.0,1,48
9763.16,35,6746
1229.95,6,397
618.96,2,278
4887.24,17,2546
65.3,1,35
1449.03,3,585
555.87,2,181
323.39,1,241
1733.08,9,2466
17239.2,19,42840
661.3199999999999,2,798
1927.3,5,194
752.4399999999999,2,348
3292.84,5,2309
2815.96,9,1274
220.55,2,98
756.82,3,406
1364.2,3,926
307.1,1,38
3914.9500000000003,12,2130
908.46,3,360
1010.73,4,290
676.99,2,355
799.13,4,335
1488.59,3,812
516.42,1,254
4848.05,11,2548
808.92,3,405
949.25,3,505
8428.53,24,3328
4049.13,9,2661
1408.24,4,620
11986.52,35,7015
155.8,2,72
3119.33,7,1424
127.65,1,47
2321.11,4,1821
209.48,1,158
709.59,3,456
271.40000000000003,3,52
2291.77,10,860
307.53,1,123
248.61,1,107
346.98,1,343
188.4,1,116
1666.8400000000001,6,668
1055.05,5,381
470.8,2,322
508.51,3,131
344.0,2,200
9284.45,38,15171
751.7,4,372
129.22,1,30
177.15,1,69
418.08,2,261
1378.74,4,826
919.61,1,485
135.4,1,44
2740.65,11,2468
29018.06,57,12032
419.18,6,158
280.73,4,193
56838.37,28,40077
7335.75,21,8466
395.43,3,307
122.39999999999999,1,144
2433.28,8,944
439.33000000000004,1,155
313.64,1,86
236.11,1,76
113416.91,203,58932
13091.74,24,3247
2321.82,3,1339
2140.28,12,664
54144.25,55,25971
2209.44,13,1896
74.39999999999999,1,144
419.70000000000005,1,6
13324.1,28,5345
28882.44,28,15968
207.35999999999999,1,288
695.4,4,478
11380.1,37,6366
709.64,3,426
1709.1,9,834
72.0,1,100
603.46,2,231
5253.07,9,4316
748.46,2,745
1134.03,3,757
2957.4700000000003,12,763
321.88000000000005,1,180
20.6,1,11
18230.07,37,4435
234.38,1,74
5494.7,10,3934
501.14,1,291
2255.66,18,1852
2415.41,9,834
134.9,1,110
30.599999999999998,1,12
283.73,1,252
922.39,2,585
506.75,2,268
4641.66,4,2738
148.62,1,53
3774.81,13,3289
259.17,1,127
263.5,1,31
233.25,2,296
64.0,1,32
3313.77,7,1523
77.3,1,20
200.45000000000002,3,55
2475.23,6,1364
3371.45,2,4423
6274.56,13,3109
7586.94,16,4238
1274.01,7,593
8202.98,8,4614
1054.92,5,572
7656.08,17,5159
307.09,1,258
405.1,1,198
135.35,2,29
1128.52,7,265
228.91,1,154
712.8000000000001,4,144
8497.82,26,4487
1676.06,4,1280
449.96999999999997,3,171
2465.21,3,813
2146.38,7,977
486.22,1,418
1624.84,3,976
1370.48,6,741
1586.54,3,914
5687.36,9,4762
1508.18,5,992
1429.35,4,1058
91.8,1,56
472.13,2,105
9275.49,16,5755
17.65,1,3
372.2,2,120
1451.16,3,1736
875.93,2,522
1125.15,5,1007
1840.73,5,898
840.08,3,296
108.81,1,141
468.41,3,229
69.6,1,48
2399.82,11,1481
7995.36,12,3794
831.45,2,423
481.49,1,448
512.2,2,180
14059.19,21,8778
572.3100000000001,1,368
86.10000000000001,1,42
359.69,1,171
121.18,1,201
7036.18,15,4027
1668.95,10,1662
71.4,1,12
1575.89,3,820
341.36,4,296
114.60000000000001,1,25
260.68,2,842
570.66,3,308
164.69,1,115
2558.58,6,1629
112.08,1,46
472.78,2,326
136.73,1,70
3068.84,7,2006
373.01000000000005,1,204
4974.2300000000005,8,3449
15964.210000000001,67,11567
870.09,4,516
1233.06,4,1036
1580.3,7,572
2648.25,10,2413
966.6600000000001,1,428
2803.2,1,256
8308.19,13,7086
535.86,4,178
1976.3,9,1343
8509.51,13,5781
353.48,1,316
2618.77,10,1845
786.83,3,309
3851.52,11,2962
3264.23,7,2966
81.6,1,96
333.74,1,297
666.48,4,512
62.63999999999999,1,88
76.23,1,11
1336.0900000000001,5,396
847.41,2,244
88.5,1,30
969.1200000000001,6,568
2155.95,2,1518
16260.07,16,7401
312.46,2,179
257.7,1,99
358.0,1,200
160.95,1,63
6120.01,30,3520
1328.35,7,773
1176.46,4,1604
346.5,2,159
1031.07,1,441
744.85,2,416
643.0,1,128
1006.63,6,442
1594.69,5,1151
1475.79,8,709
112.53,1,46
699.4,7,350
1220.38,5,554
121.74000000000001,1,38
989.22,2,371
3351.75,11,2796
501.12,4,328
465.68,2,305
1608.93,9,1246
253.09,2,107
252.68,1,215
399.3,2,134
2951.11,4,3015
51.410000000000004,1,43
678.76,3,407
149.75,1,33
1009.43,5,446
1402.54,9,503
557.62,1,142
944.1,2,210
573.45,3,247
8676.2,39,5372
722.5600000000001,1,375
2092.66,5,1740
6135.04,19,6837
9429.81,36,3959
3174.75,11,3624
8537.32,28,6366
590.0,1,200
211.49,1,240
276.56,2,96
138.98,1,153
360.85,1,199
238.86,2,138
1891.91,5,840
523.3,7,382
1435.85,4,1358
137.75,1,73
2293.33,7,1489
350.85,1,201
1313.19,4,410
373.36,4,204
201.19,1,91
3364.59,6,2457
734.91,1,274
781.59,3,429
927.61,5,379
307.95,1,119
208.63,1,1
3270.79,11,1600
994.51,5,530
1192.94,6,555
1689.53,3,996
1101.97,4,733
792.51,6,653
4368.62,7,2694
360.0,1,96
1218.7,3,416
1285.51,3,455
618.09,4,345
159.2,2,12
61.72,1,26
1217.99,4,716
3616.41,16,2228
53.65,1,74
273.34,3,140
1670.3700000000001,4,1073
1706.3700000000001,6,1914
1541.2,5,816
598.57,2,305
124.75,1,41
3445.32,12,2308
775.94,3,560
310.26,1,232
12940.82,10,19931
6486.091,19,3149
640.76,3,304
21323.22,58,8974
2211.6,6,1509
567.36,2,372
199.48000000000002,1,117
787.85,5,175
10513.47,18,8448
675.3,1,240
281.76,1,140
9134.48,20,4203
1308.48,1,680
4808.77,8,3311
2796.1,6,1951
262.4,1,54
350.9,1,179
1015.74,3,685
6201.8,5,3198
795.12,1,559
1575.26,1,980
2445.62,4,1151
860.12,1,326
22100.56,12,9636
775.85,1,301
353.43,1,135
2511.69,3,952
389.5,1,141
299.4,6,180
341.36,1,205
233.76,1,136
247.32,1,225
979.12,2,287
373.94,1,117
397.97999999999996,1,321
743.53,1,604
674.7,1,314
768.24,1,325
3805.5099999999998,5,2112
439.03,1,285
1043.31,2,381
1553.65,4,942
1450.5,2,324
5394.07,7,2481
1723.86,3,1146
134.95999999999998,1,71
2225.37,2,1247
56.160000000000004,1,144
510.20000000000005,1,253
1121.5,4,606
308.28000000000003,1,149
754.87,1,343
2297.66,2,1019
378.64,1,159
7587.1900000000005,6,4263
422.8,2,135
1792.23,2,1124
1019.76,3,493
1552.88,2,748
572.56,3,601
62.4,1,48
8224.37,12,5125
1387.58,5,863
305.28000000000003,1,288
6680.83,11,4142
534.57,1,281
835.46,2,514
186.94,1,123
1185.65,3,701
797.96,3,429
544.08,1,224
59.8,1,4
91.14,1,82
1131.45,4,662
6621.7,19,5354
1180.23,3,1660
1360.99,2,600
3191.87,10,1336
670.34,2,341
275.4,3,120
310.83,1,284
1226.8500000000001,4,917
229.5,3,114
252.49,2,111
1213.811,6,855
568.92,2,292
2244.7,3,1690
50174.782,106,28675
2201.96,9,1244
213.55,1,72
487.34999999999997,1,176
429.44,6,455
2494.14,6,2702
784.17,4,496
940.8000000000001,3,208
1669.49,6,532
11559.66,31,7354
221.06,1,275
159.85,2,101
4058.75,8,2351
2626.3,1,1326
217.03,1,141
572.77,1,529
3390.4300000000003,5,2358
8167.38,22,4868
1006.53,6,880
478.54,3,356
1006.8,4,1390
679.45,2,751
3316.24,8,1570
439.1,2,217
658.3199999999999,4,190
1666.8600000000001,5,864
4447.33,9,2754
196.89,1,76
3408.06,7,1283
46.5,1,10
986.61,3,952
1295.25,7,573
720.9,2,520
419.87,3,115
1273.16,6,805
619.08,2,331
241.89999999999998,1,198
3881.89,11,2403
1129.14,3,584
8745.93,13,4195
291.88,1,222
4120.04,13,4318
7090.06,11,5229
729.8,3,6
781.6899999999999,3,341
219.87,1,198
2212.9900000000002,6,795
1766.72,6,765
148.22,2,96
11959.27,16,6760
1160.4099999999999,2,986
183.44,2,286
4160.0,6,3132
1153.85,5,697
3097.64,6,1440
931.12,2,584
1013.35,5,660
1071.91,2,580
12793.28,72,5617
82.4,1,52
165.0,2,100
2501.84,4,1583
592.24,2,310
2657.7599999999998,8,1000
646.59,3,318
1431.78,4,1012
2061.4700000000003,5,713
2819.17,11,2091
2215.78,5,1189
851.37,4,716
627.82,2,362
3830.84,11,2055
336.09,2,187
140.34,1,160
790.72,3,224
3019.2200000000003,11,1798
1122.41,3,669
846.87,5,362
14205.96,23,7375
449.52,4,560
154.25,1,25
4467.66,27,2349
1269.84,3,408
618.63,2,380
316.26000000000005,1,162
4863.31,10,2465
653.33,2,341
1166.83,6,525
327.38,1,362
1159.11,5,1365
1466.3,4,838
2885.11,3,1253
780.5,5,490
1859.24,6,1105
295.93,1,178
4393.63,4,2486
1338.08,5,942
2479.16,4,1597
287.05,2,180
1114.72,8,1214
4558.29,11,3044
282.76,1,60
713.39,4,419
824.59,3,364
815.9000000000001,4,288
1265.82,6,819
1685.26,4,1114
2128.42,3,1369
627.16,1,382
343.21,2,133
6606.0,11,3179
1071.73,3,718
125.80000000000001,1,44
4534.57,6,1989
680.1800000000001,5,324
628.78,2,394
1182.0,2,1911
4541.29,12,2736
307.76,2,74
402.97999999999996,1,272
1433.07,6,497
210.31,1,129
269.09,3,202
7720.9,35,3869
89.5,1,10
3444.39,7,2126
717.85,2,337
3103.13,12,959
1569.3600000000001,7,710
632.39,3,189
785.25,2,279
3959.4900000000002,17,804
1439.6100000000001,2,329
790.2,6,331
364.93,2,252
1086.24,5,587
167.08,1,79
901.44,3,558
1005.8,8,554
342.55,1,430
244.2,2,36
6948.92,22,2630
499.6,1,201
1629.35,7,578
8891.84,13,4762
200.82,2,134
3032.26,13,2398
594.52,4,338
990.0,2,360
171.42000000000002,1,63
1803.4,11,1125
4838.18,8,1603
777.53,2,209
16498.97,37,8878
414.8,3,260
1688.6,5,1257
1079.29,4,643
187.05,1,66
726.54,4,345
239.49,1,161
4537.26,26,3191
1384.25,1,534
904.52,6,647
404.45,1,304
732.0699999999999,5,449
11202.59,28,4506
3489.28,11,1661
147.66,1,127
1374.34,5,718
107.75,1,45
280.53000000000003,2,119
241.68,2,106
1445.031,2,1097
385.7,3,360
684.54,3,1386
127.28,1,38
1673.5,4,664
2478.95,9,2606
1120.74,6,293
6336.04,18,5271
2093.94,7,850
247.95999999999998,4,84
5493.29,14,2170
533.32,2,396
784.48,3,341
664.11,2,384
396.71,2,231
761.96,5,393
9811.04,33,6248
518.42,2,599
1159.99,4,957
1025.17,4,538
164.34,1,164
717.62,1,242
522.67,2,425
276.75,3,276
1075.81,2,466
232.05,1,110
167.35,1,19
2103.71,14,869
3297.9300000000003,10,1988
818.29,1,444
1039.8500000000001,5,445
2332.74,6,821
6272.53,8,2910
283.85,2,172
1278.75,8,593
177.34,1,246
224.94,2,79
112.34,1,74
213.85,1,343
658.95,1,379
2533.06,10,1010
462.08,1,820
301.26,1,144
707.04,2,398
2245.9,7,1632
310.14,1,106
13370.86,19,7722
2031.78,7,1391
3070.42,11,467
3645.81,8,1633
5033.77,16,2090
2999.16,4,1884
949.12,5,592
804.3,3,405
122.64,1,93
1346.27,2,997
405.0,1,108
1016.47,5,1098
472.2,4,231
2156.77,10,902
2624.26,4,2067
252.1,1,158
326.25,2,79
3041.68,8,1795
1764.02,8,960
1453.68,6,782
3288.0,10,1746
226.85,3,62
2262.05,5,1458
152.2,1,72
6308.0,11,4762
2280.51,6,1225
1078.85,4,862
382.14,2,209
6025.5,9,2171
4884.68,12,2527
306.64,1,136
325.24,1,118
2233.61,11,1169
2047.51,5,893
1711.6599999999999,3,1652
127.89999999999999,5,54
299.05,1,149
12948.48,35,6096
413.55,3,393
349.7,1,282
172.6,1,95
419.92,3,138
387.44,2,114
240.68,1,102
486.82000000000005,2,330
243.9,2,104
551.24,2,217
232.6,1,924
281.26,3,102
11419.67,12,5244
827.83,4,360
59.5,1,10
258.6,1,180
594.88,4,234
3119.44,7,5056
409.04,3,378
11880.84,1,87167
375.5,1,130
1259.5,2,722
172.25,1,67
212.78,1,145
3114.4,5,2101
2011.82,9,880
195640.69,143,188201
2770.73,16,1791
2020.4,3,552
151.29999999999998,1,177
451.73,2,227
764.15,2,219
2596.9700000000003,13,2786
161.0,1,80
135.18,1,74
425.56,2,128
2308.06,9,1531
1717.19,7,906
631.17,2,301
3365.86,5,2210
285.33,1,301
7571.35,18,4122
509.52,3,336
1792.26,9,819
766.42,2,1128
740.76,3,284
161.35,1,50
8153.04,17,4800
138.28,1,138
1763.3,8,2144
306.55,2,173
2783.08,11,1588
799.9,4,501
741.54,2,512
5635.41,10,3059
1194.08,6,593
213.01,1,130
1980.56,8,806
1079.6599999999999,2,1054
1074.15,8,368
2855.17,16,1269
724.73,3,419
752.6,2,488
610.59,2,278
491.86,1,498
487.03000000000003,2,335
6695.6900000000005,4,302
9762.77,13,4135
2752.47,7,1549
339.59999999999997,1,125
434.78000000000003,1,237
292.2,2,76
1582.77,5,987
668.4300000000001,3,218
3107.87,12,1115
1341.6,7,1776
1080.52,2,1153
777.36,2,1146
176.69,1,83
169.79999999999998,2,60
2064.35,9,1028
3602.1800000000003,11,1370
296.25,1,152
1579.8300000000002,7,1005
2094.57,4,1450
447.05,3,315
2108.06,9,1242
8655.95,23,5138
195.55,1,54
8698.13,15,4667
659.4100000000001,2,287
1363.6399999999999,5,623
1952.17,6,1079
2472.48,5,2608
5217.4400000000005,3,3224
2919.62,6,2084
352.821,1,297
190.35,1,137
33903.57,73,14595
875.97,2,373
5478.12,20,2452
785.37,4,468
5728.82,9,3140
3100.02,8,1446
301.54,2,174
345.0,1,192
1049.66,1,455
623.98,2,2
49638.26,61,23190
1124.49,4,511
161.13,1,53
732.07,3,479
778.83,3,300
1786.08,13,643
1542.09,4,3437
2910.23,14,2827
542.49,4,151
3127.99,6,1515
1222.5,6,998
3.75,1,1
239.45999999999998,1,258
348.8,1,748
1516.0,2,1200
383.95,3,156
96.0,1,52
126.03,1,63
836.3,4,1250
289.7,1,218
1179.45,3,573
75428.87,110,48187
2803.57,9,1539
1679.56,3,891
324.8,1,168
26259.11,19,14129
1338.91,3,831
3161.12,9,1797
924.6,2,1900
256.38,1,56
422.2,3,116
1747.66,5,782
679.7,3,281
1499.01,3,312
814.5,3,68
539.0,3,333
2765.47,8,1292
2257.32,3,1214
7475.74,8,5381
571.6700000000001,2,269
382.98,2,211
61.28,1,60
2642.35,6,2309
652.75,3,285
1379.08,6,477
632.0,2,611
3403.4500000000003,7,1564
3314.76,12,1442
255.59,2,182
189.5,1,82
409.8,3,138
209.49,1,311
102.0,1,12
156.85000000000002,1,47
6585.54,18,2393
609.89,2,420
700.41,2,243
324.19,2,221
1095.27,7,520
620.37,2,273
266.59000000000003,2,182
1690.07,10,694
139.95000000000002,1,25
651.4,1,358
85.0,1,100
5319.34,18,2716
319.75,1,145
361.62,1,196
312.98,1,182
1307.79,4,705
310.72,1,96
3015.0,8,9200
3469.3,5,1883
1595.48,1,944
4606.46,8,2525
187.35000000000002,1,85
1090.14,1,312
11944.56,39,3642
1310.3400000000001,4,575
1142.03,11,1105
1001.01,6,782
216.17,1,75
515.86,2,167
1245.9,5,591
273.26,2,225
2556.09,9,1927
1239.55,4,553
662.4000000000001,1,192
501.56,4,204
145.67000000000002,1,57
1005.09,3,501
3192.54,2,1964
7996.87,10,4302
5712.08,15,3449
7885.85,17,3502
919.57,3,339
1038.92,8,472
2049.15,7,864
4814.37,14,3072
122.7,1,36
449.68,3,478
