Total_Revenue,Total_Orders,Total_Quantity
254.51000000000002,55,2559
837.88,43,3707
2.08,1,52
92.82,18,442
10.5,2,50
95.76,20,456
640.26,187,2768
222.75,70,990
1968.45,66,10625
182.65,26,173
105.2,28,88
1285.8899999999999,117,2085
316.98,51,276
27.71,8,19
2204.35,178,3964
1117.0900000000001,76,6240
803.25,86,315
149.1,23,355
333.61,13,709
896.3399999999999,17,4542
661.23,15,3124
598.3100000000001,38,1257
57.98,11,86
1351.1799999999998,39,1125
1684.58,145,1580
61.78,34,743
646.56,81,1620
447.0,28,1150
751.6800000000001,57,810
682.32,89,716
15.120000000000001,7,36
156.65,24,133
642.66,65,353
123.75,12,33
1043.22,72,11396
30.16,9,64
600.66,98,433
298.7,20,117
41.14,6,8
43.349999999999994,12,17
17.849999999999998,3,7
3924.9199999999996,211,1763
5.9,2,2
8.850000000000001,3,3
3231.13,236,1223
1479.61,135,292
1077.81,195,637
449.26,121,283
992.99,105,498
648.54,137,297
1014.42,194,578
61.76,14,15
451.67,33,207
1127.59,128,582
1027.29,172,1516
528.77,81,2004
505.41,120,398
608.48,189,414
726.47,118,1877
2251.36,353,1584
533.51,138,369
88.75,26,71
980.0600000000001,123,898
471.33000000000004,49,728
369.41,44,1074
155.41,31,57
4256.34,348,1335
412.45000000000005,46,911
108.69,24,40
2454.88,367,20951
1111.89,214,797
378.85,48,694
1038.72,143,786
201.0,36,138
6.25,2,5
4348.52,463,3412
8067.83,693,6465
13105.7,966,10475
9798.06,760,7774
6.6,1,4
30020.97,715,6149
19.5,4,6
4757.15,341,1405
10171.31,589,3068
3.25,1,1
1910.06,176,580
66417.47,1725,9783
2002.84,186,590
332.9,11,464
614.1,41,429
3682.76,139,908
161.89000000000001,18,33
622.33,54,166
604.58,61,142
617.9399999999999,60,151
96.6,21,40
114.44999999999999,21,47
797.9599999999999,88,294
1125.05,103,420
721.49,50,353
3296.7,245,782
1993.47,169,471
1371.42,80,361
996.19,53,273
1243.68,199,1613
25719.13,1052,12643
37499.37,1415,17710
40667.05,1314,20814
649.8199999999999,28,1580
424.0,1,400
1925.04,246,1533
7767.48,757,6296
17457.35,1213,13353
27598.42,1573,24479
0.85,1,1
20401.05,1379,18296
35190.21,2035,32197
71106.29,3056,40317
38506.74,1926,22118
45655.27,2351,26678
42270.3,2067,24596
1778.12,121,5262
1011.7,102,2218
1252.92,73,4142
1452.2,294,1927
1470.62,117,1592
1540.29,202,1515
233.5,19,290
1.7,1,1
1301.72,74,1610
8.65,1,1
9224.92,108,683
14266.980000000001,183,1600
22097.61,766,3062
26866.629999999997,909,3688
6023.26,471,2839
2868.2000000000003,358,1500
509.00000000000006,56,218
10444.82,852,5094
1089.73,122,5145
851.5600000000001,64,5728
890.7,78,5347
953.42,95,5425
891.13,63,5777
1313.66,81,5550
1422.46,146,458
1343.79,136,458
702.86,74,267
2134.76,193,685
1265.06,146,442
1548.47,155,518
1741.61,179,812
1534.19,149,767
808.81,79,438
2190.59,201,1045
1201.6799999999998,140,606
1848.73,161,970
963.9799999999999,117,3339
962.48,119,3484
926.54,112,3604
832.66,84,3258
1262.7,169,3660
944.3599999999999,90,3611
1333.96,98,231
579.93,61,103
995.48,87,155
1051.4,55,165
3570.87,37,101
3672.35,36,102
3533.9,31,99
2535.1,30,69
63.75,1,5
518.5,22,281
591.02,48,212
308.7,29,135
182.15999999999997,22,99
1308.15,83,551
355.33,26,200
303.96,5,1005
1422.0,111,1092
1596.81,116,1051
874.4599999999999,84,1149
579.31,61,325
12.75,3,5
208.89000000000001,13,189
123.6,7,24
268.5,30,87
631.49,65,228
54.45,8,11
286.42,25,42
9.3,1,2
533.71,19,253
1255.08,7,361
290.72,14,355
209.36,8,173
10940.48,607,4423
9825.02,481,4820
964.61,82,407
927.96,79,474
1122.6499999999999,158,1681
811.8,5,52
87.02,10,80
250.0,22,224
188.07,18,165
565.8,63,446
1018.11,118,633
1419.09,93,885
502.27,24,76
1956.81,169,1453
334.35,27,80
115.05000000000001,12,39
593.03,24,674
713.8000000000001,23,820
429.57,28,335
711.3699999999999,107,441
234.29999999999998,47,142
674.0899999999999,122,408
410.84999999999997,73,249
6.6,1,4
42.0,11,20
96.60000000000001,16,46
691.1400000000001,37,325
601.53,50,293
498.14000000000004,29,252
500.49,33,251
1368.91,191,1280
1093.14,153,1098
518.07,71,882
295.12,53,529
52.2,7,29
1978.0500000000002,127,1273
5.04,5,12
952.51,85,737
67.8,11,57
2.55,2,3
8.850000000000001,2,3
6.300000000000001,3,3
2.95,1,1
3540.22,308,1777
118.39,8,18
547.74,19,367
398.03999999999996,13,657
202.62,4,605
236.32999999999998,3,684
1095.35,38,102
1308.5900000000001,76,559
827.3000000000001,79,267
47.20000000000001,4,16
115.05000000000001,14,39
848.7,75,351
693.9200000000001,53,327
129.8,12,44
806.58,67,91
1525.22,116,206
919.8,86,187
63.5,4,10
368.24,47,101
769.12,47,106
898.7199999999999,43,314
52508.560000000005,2030,18670
2238.07,157,673
1143.97,81,333
1329.4900000000002,52,505
1185.07,74,197
574.48,46,300
843.3900000000001,76,333
10.2,1,12
342.75,22,118
896.28,124,998
7.5,4,6
540.21,71,381
353.39,83,687
150.72,24,329
54.449999999999996,9,33
25.590000000000003,3,3
3083.82,236,2338
184.60999999999999,15,126
70.5,10,38
2550.84,215,1900
4687.65,514,3530
4676.15,509,3459
50.99999999999999,6,20
4265.24,420,3007
3997.34,296,1055
185.11,19,43
12066.52,613,3237
9387.29,574,2490
28580.97,1148,22260
24785.31,1397,20496
6773.950000000001,658,9863
8686.54,822,13219
11848.710000000001,902,18099
376.34000000000003,76,549
5069.99,485,3792
5438.57,557,4117
10271.81,709,8156
282.31,58,233
4069.16,513,4718
4243.8,576,4851
5469.08,641,6280
1940.9599999999998,245,5867
3047.99,291,2370
1530.95,204,1217
288.35,22,131
46.8,9,24
782.18,57,407
1706.1399999999999,103,895
884.5600000000002,32,7084
3220.4,433,6151
1334.1100000000001,32,10967
39.949999999999996,12,47
1686.79,335,6311
796.74,83,170
942.2600000000001,127,324
1744.98,94,690
717.8000000000001,90,141
1507.22,184,417
647.75,64,109
625.07,70,137
914.6700000000001,48,1927
2.51,1,1
1494.99,102,1047
1114.76,83,850
1373.8,118,1840
4293.7,299,2297
928.0899999999999,189,1850
771.7299999999999,186,1700
582.85,82,834
535.89,87,659
182.70999999999998,42,213
396.12,81,300
716.73,124,549
433.61,77,355
423.9,92,323
290.9,51,239
176.7,39,144
252.16,50,203
10132.11,573,4590
3801.8999999999996,1902,4002
18644.78,929,5994
2.55,1,1
355.48,52,166
3423.6499999999996,228,1313
1125.85,68,894
9049.29,525,2666
8717.31,399,1473
1921.03,141,677
1486.16,127,754
3537.9999999999995,182,382
3839.0899999999997,222,386
4961.33,195,545
2055.5899999999997,275,2396
1348.56,221,1596
952.55,151,1276
1046.56,163,1396
875.87,136,1053
1256.27,238,1456
4432.92,171,884
1455.36,118,608
1494.67,131,2284
3830.67,266,4763
4224.63,373,4066
5404.360000000001,279,5099
2083.46,229,2034
4998.32,472,4269
714.55,92,843
2058.1,192,2790
6181.25,741,7211
25416.93,2123,31076
3.4,4,4
1960.45,163,7183
1008.8100000000001,223,2929
1872.68,66,13731
10781.810000000001,843,16658
168.08,32,260
1816.73,136,16615
112.54,40,323
1729.09,278,3107
1868.7,47,13700
1571.5,28,12846
15334.029999999999,984,19633
274.57,40,295
2711.71,143,15919
27.2,7,32
13263.93,596,8537
1516.64,33,13290
3795.0,269,2540
221.07999999999998,20,82
2419.6800000000003,169,790
6624.77,313,2302
25407.27,613,12962
4476.49,223,1173
7729.37,329,1640
3187.1600000000003,214,1379
5484.26,189,2222
7306.14,494,5666
7955.84,431,1247
7900.01,534,1355
502.08,26,328
104.25,7,69
41.01,3,3
16.98,1,1
18442.7,873,15215
14844.78,807,12209
3393.06,252,2751
12172.79,629,10029
2211.38,246,2123
2349.22,285,2325
998.0300000000001,48,297
841.63,57,126
949.44,60,124
1200.93,49,721
1098.86,49,276
476.61,47,93
712.91,42,410
646.4399999999999,46,377
8567.24,405,5985
17451.45,739,10496
65189.29,634,18739
4149.15,182,2088
287.47,60,543
1256.21,49,869
1513.6699999999998,58,789
870.48,118,477
4294.6900000000005,139,393
11694.95,903,8095
16343.09,969,6665
17002.28,930,9137
1616.95,176,689
1792.6599999999999,310,2587
1445.37,250,2105
557.49,58,794
1806.05,206,2360
1655.8799999999999,285,2402
1757.92,253,2800
16626.41,721,5981
15167.38,966,9360
38138.86,1425,19932
587.52,114,2440
14262.61,772,8856
2578.27,260,1845
11382.16,971,7685
607.9599999999999,77,340
19593.81,1135,9696
43851.48,1659,20676
3517.9,505,4284
50117.14000000001,1810,24732
876.29,44,132
8532.17,369,5272
2243.7799999999997,144,1344
2771.34,128,912
1698.8799999999999,123,797
1337.59,111,806
3408.61,201,1479
3885.64,216,2167
274.37,22,111
751.5,95,578
2122.66,150,997
306.89,22,178
661.81,45,453
1472.3,118,1282
1495.6999999999998,149,1305
2065.16,126,1421
6517.16,235,2741
1103.48,66,854
2526.9999999999995,145,1539
2682.99,205,1608
1746.97,144,669
3067.8999999999996,238,2155
5597.419999999999,282,3601
976.91,120,1078
1368.04,137,1476
21727.19,1161,15118
3365.64,237,2405
51825.15,3118,94884
21390.760000000002,1481,40263
2920.8199999999997,199,2006
2533.88,291,4349
20169.0,802,3884
29769.239999999998,928,2904
20800.31,897,5256
1303.27,176,1013
888.68,159,659
709.66,107,535
804.65,133,621
587.08,43,492
2691.91,312,2171
2.5,2,2
230.54999999999998,37,213
122.57,31,97
24128.86,1482,19428
49300.57,2435,37997
8164.0,903,9477
6438.39,751,7369
6535.74,769,7581
1869.07,260,2213
11917.73,657,7085
9287.699999999999,503,5636
8279.07,445,5045
4268.36,304,2567
3685.63,209,749
664.73,81,422
1299.55,158,1043
4770.530000000001,259,1661
997.5500000000001,60,402
1683.93,132,595
408.66,22,168
1225.17,122,332
860.0799999999999,96,476
588.64,65,326
13968.48,532,1549
21386.559999999998,526,1505
13843.92,655,2293
11564.43,534,3512
1146.1200000000001,77,283
2366.0200000000004,132,606
658.29,56,299
917.8499999999999,68,391
705.59,34,321
98.9,9,23
74.6,10,24
261.66,49,397
1036.84,65,114
874.43,51,76
3109.83,339,2348
2420.69,105,175
1714.48,55,249
1558.94,29,677
1309.3899999999999,48,54
1654.4499999999998,118,2758
1621.83,101,3527
1800.44,70,3333
1716.8,67,3680
1522.28,69,356
1629.2,81,512
1668.72,140,1547
1362.6200000000001,99,1007
1623.01,101,1006
1860.0,93,4107
2557.4700000000003,224,982
1549.31,102,1413
2.5,1,2
2077.93,153,2411
1427.11,91,2449
872.34,85,343
1653.75,139,2246
755.8,14,52
966.35,34,166
841.7,12,53
985.54,30,96
591.58,18,86
342.8,68,681
650.07,72,749
705.9,6,132
325.6,5,49
179.7,4,6
539.6700000000001,94,701
1179.17,26,299
5771.11,415,6711
24641.390000000003,1066,11426
1146.11,47,693
1453.4,74,357
900.42,93,972
743.6099999999999,65,508
913.34,56,398
301.8,18,122
590.45,14,301
2506.89,80,740
2845.71,175,1014
11593.86,643,17770
3378.5099999999998,495,1926
4612.63,643,2441
3760.66,555,2082
2454.0699999999997,201,1452
946.6800000000001,30,110
1644.17,50,270
3192.09,222,1057
989.62,28,42
527.5600000000001,43,1823
103.53000000000002,12,33
873.25,13,199
544.5,12,30
19194.13,419,1758
410.64000000000004,29,72
92.00000000000001,3,20
749.82,26,166
47.6,4,8
2030.8400000000001,133,842
4010.73,171,553
647.7500000000001,42,225
3702.75,177,1099
3110.28,158,880
160.45,9,19
2979.46,217,2476
4218.05,341,3452
2014.1599999999999,349,1592
1827.76,211,1388
1398.71,222,1129
2116.48,73,208
2790.41,100,441
7361.74,286,556
5296.4800000000005,401,984
3407.7200000000003,167,468
707.9200000000001,77,469
1140.0,77,238
278.47999999999996,60,211
212.04,47,201
225.36,22,133
251.97,22,54
556.01,64,404
267.01,50,156
548.89,61,636
809.67,71,470
817.6,61,134
849.91,46,183
742.56,98,518
728.9699999999999,88,560
705.46,125,641
14593.320000000002,651,5031
8568.0,532,5104
1665.66,152,1238
1590.43,323,2204
1810.1899999999998,150,1917
9358.939999999999,690,10832
680.78,105,1148
21.25,4,25
290.16999999999996,29,311
2008.09,261,2299
13552.97,588,10937
1811.89,175,1417
1478.13,48,7545
1172.8100000000002,43,5244
1864.6299999999999,150,4005
1401.6,115,2968
1205.25,77,948
2017.74,180,2157
2231.9,126,2295
1550.44,118,2378
213.07,91,1078
315.7,121,1437
333.42,151,1698
523.0699999999999,157,2319
8.65,1,1
5883.33,453,1294
3045.31,240,703
4.25,1,1
1458.28,150,312
8352.94,624,2090
279.0,67,275
1131.14,52,3162
870.89,36,1637
726.1600000000001,82,348
603.0600000000001,22,751
1023.9000000000001,118,502
533.8399999999999,66,194
577.6899999999999,19,1259
332.16,31,120
2144.48,105,1792
2619.17,147,3160
2861.64,142,955
1274.93,95,505
1647.0700000000002,99,1028
999.0600000000001,119,507
11762.93,465,2883
11342.25,997,6359
18044.97,814,4621
2511.3599999999997,278,1483
5435.91,237,942
2350.92,109,677
1229.8200000000002,36,373
2837.54,240,2259
597.56,95,472
655.4599999999999,133,928
704.9699999999999,136,973
727.9300000000001,26,257
902.0300000000001,36,291
1887.23,146,1519
1669.83,232,1258
3842.63,336,2776
1640.1699999999998,211,955
77.35,3,13
5731.330000000001,408,1875
807.5999999999999,194,937
797.27,167,901
776.05,65,738
716.0,65,685
849.24,88,768
520.55,44,263
249.64999999999998,27,113
171.04,23,82
2425.41,171,413
7484.81,302,1349
2286.75,217,539
2875.6400000000003,187,793
3479.79,275,927
3263.75,254,1025
2361.39,142,669
3482.01,210,1165
4190.93,319,1102
5095.63,319,1406
4077.82,285,1056
3212.16,90,157
4189.5,94,210
14.95,1,1
2219.5099999999998,85,142
3248.94,45,273
854.23,92,204
31079.8,930,6219
899.5200000000001,57,285
25613.45,1050,8174
2296.76,184,740
18171.14,864,4584
37078.67,1385,7593
3638.67,294,1116
9784.58,359,2384
157.60000000000002,14,28
1210.6,55,637
5367.009999999999,248,2878
252.45,29,272
6449.0,501,3833
5119.3,376,12465
10.5,1,25
6978.0,485,17500
10851.92,802,26726
6059.84,460,15052
6443.0,492,15950
740.42,64,1801
2005.02,329,4913
4534.49,665,10878
3455.41,584,8223
2808.62,541,6716
3587.22,628,8696
16.8,2,40
469.28,109,1107
3149.93,553,7356
411.63,108,957
46083.71,1122,6916
35955.44,1150,5255
13.5,2,2
24968.47,831,3345
5680.15,257,899
1790.44,152,503
1361.5600000000002,162,959
10174.119999999999,776,4073
1419.71,90,1387
16614.870000000003,954,3343
4768.64,342,938
16837.0,1111,6776
474.74000000000007,61,221
4338.71,256,1005
1924.51,51,1308
13551.640000000001,709,2723
2394.95,87,1323
1636.24,201,1907
1600.75,190,1877
215.0,24,284
5052.21,503,6064
1640.1200000000001,82,697
1848.4700000000003,119,719
1776.1200000000001,107,682
1270.39,51,547
1565.51,64,295
824.95,22,169
837.6,35,165
581.27,39,90
767.75,22,167
1131.37,134,425
4244.41,293,1607
3169.3900000000003,302,932
10810.66,768,4207
20345.53,1221,8227
15.44,4,4
7303.91,522,2969
970.2800000000001,73,678
6875.71,362,2786
4524.5,294,1951
1686.19,205,732
5716.5199999999995,464,2556
5062.86,380,2205
1560.85,136,1029
1329.6299999999999,172,542
1890.74,203,1172
193.04999999999998,16,117
6070.05,352,3769
1.65,1,1
6018.75,238,2583
5173.05,260,2071
7748.55,284,3351
2583.4500000000003,88,1119
4141.28,286,3448
6003.08,365,3978
6552.46,476,5876
1629.31,94,1391
21.06,5,5
76.95,9,9
42.64,9,10
4186.29,218,1499
1543.67,97,542
2182.19,148,750
2025.7700000000002,113,698
1861.4500000000003,145,632
4538.17,194,1627
2308.67,169,1168
2458.58,191,1152
2135.01,169,834
1823.74,139,698
2069.02,212,1131
2206.73,222,1087
60286.04,1292,6900
19936.94,626,3699
45402.18,530,6165
10641.15,403,1771
7037.62,334,984
3017.0699999999997,204,1496
3766.35,115,195
3185.2799999999997,87,164
1961.37,105,177
1973.3899999999999,95,162
1571.75,54,221
1076.22,53,132
1663.11,72,175
1507.74,69,1771
855.24,42,398
985.74,98,1014
1741.72,93,1358
2220.94,142,1020
228.64999999999998,15,259
2049.4,205,2225
946.31,111,1666
2575.18,251,4413
2127.94,204,1521
1461.47,137,1087
1642.6499999999999,133,969
1899.2800000000002,144,848
3956.48,231,2940
1162.89,29,421
1163.8,197,3204
2200.3599999999997,124,1361
1747.9399999999998,78,896
2565.67,111,1246
820.21,82,1183
2277.5,89,1396
1614.54,140,985
1967.38,118,257
9271.89,519,2225
1891.7,66,120
1511.3100000000002,98,239
1735.0500000000002,106,269
488.16,32,76
1031.07,67,258
638.8000000000001,75,879
1105.15,85,1760
6126.25,163,354
13912.17,825,10357
13839.18,805,10578
12074.4,767,8845
12339.32,727,9488
14411.13,815,11120
13272.39,763,10050
680.8499999999999,9,43
1576.84,268,1782
893.7199999999999,159,1193
1859.3799999999999,279,2125
423.0,80,572
4034.5099999999998,370,4871
2483.68,268,2858
2234.81,79,233
2767.59,152,559
2757.4700000000003,152,936
1357.61,104,1696
44.849999999999994,2,3
2460.1400000000003,33,65
1871.23,101,477
2845.6500000000005,142,912
1268.12,60,342
990.84,82,258
960.99,72,249
1906.62,111,502
2648.6200000000003,120,871
1593.16,70,556
1952.1800000000003,102,630
2251.1400000000003,107,749
295.08000000000004,7,372
399.01,112,530
82.44,3,108
7028.509999999999,525,6335
918.6800000000001,8,2636
5646.47,561,14577
13235.16,568,17175
3145.7099999999996,225,2534
5026.21,254,1348
4184.95,172,1005
2336.48,129,611
2876.7200000000003,117,696
2235.0099999999998,110,726
1555.66,71,382
5145.4400000000005,391,2733
6182.39,522,4283
8987.24,487,3553
9397.07,496,3709
4039.6299999999997,176,1554
5250.3,467,4030
813.14,141,906
929.81,112,1068
990.5,144,1090
327.75,79,347
769.13,135,866
888.3399999999999,178,996
1036.4299999999998,173,1135
930.99,155,1077
2773.11,40,298
422.9,30,124
5534.17,293,1115
48315.84,1537,28910
3214.57,58,925
50346.490000000005,1760,17575
529.49,29,97
11112.85,262,853
393.69000000000005,27,193
7362.66,164,398
1322.63,131,422
1451.8500000000001,177,494
698.0100000000001,66,201
2293.7500000000005,190,701
2647.28,193,437
3767.0800000000004,182,1288
2697.1600000000003,217,898
9201.49,486,2699
7468.34,488,5965
2452.35,153,2049
10980.980000000001,286,5657
663.85,62,309
1244.81,37,77
46516.990000000005,2066,7595
34836.020000000004,1696,5643
9944.65,581,1612
454.3,42,80
1069.76,79,135
1274.47,13,30
1740.0,12,15
1814.75,24,65
1157.8999999999999,17,43
659.1500000000001,11,17
3076.39,143,371
29.95,1,1
6756.09,163,497
7954.87,48,123
14807.300000000001,651,2991
12.75,1,1
1899.4,308,1642
2129.81,368,1711
1326.29,277,874
9075.51,367,1126
1097.8000000000002,22,301
1745.85,32,203
10125.72,363,655
3538.2799999999997,178,290
1514.63,100,2005
3049.0299999999997,450,7471
11926.08,469,15135
2725.0899999999997,206,3375
2437.0699999999997,218,2920
23506.17,1888,27244
22858.6,1313,17604
2517.88,141,494
1627.3600000000001,102,353
3552.09,178,713
3734.9400000000005,80,441
2782.19,67,324
1467.6599999999999,258,3398
1917.1999999999998,323,4377
1938.96,322,4463
2240.9900000000002,137,597
957.63,103,2221
1179.4299999999998,128,2707
1422.45,172,3225
2715.53,144,1001
2427.89,207,3015
4374.41,344,6959
4577.18,382,6340
3917.4900000000002,205,805
3761.4100000000003,184,815
1016.53,95,670
1060.24,92,679
637.3399999999999,50,422
1077.19,130,1687
2549.45,285,4196
2247.14,248,3847
3132.39,180,795
2866.6,153,713
1343.7,142,1010
2447.72,212,2468
2351.46,211,2782
1053.1899999999998,75,733
2326.87,240,1800
1068.89,134,835
1396.6200000000001,180,1105
3242.18,409,15035
3185.6,256,7658
5836.759999999999,459,3338
10681.67,444,6239
1003.89,100,249
1622.64,91,244
5.45,1,1
1085.5900000000001,83,201
1857.47,132,437
1308.74,47,551
64918.299999999996,1527,6128
15329.44,494,5374
3758.4100000000003,158,2521
3803.4,264,1601
675.37,71,347
1483.51,134,633
1072.98,106,447
1473.56,149,628
13.9,2,2
15.399999999999999,3,3
5.17,1,1
10.23,2,2
10.23,2,2
5.17,1,1
4431.54,411,1853
2085.6400000000003,297,896
3591.5,453,2168
1562.87,288,1144
11163.64,881,9075
1469.5800000000002,111,1264
7627.49,630,6083
13654.89,779,11492
5163.8,330,5092
2360.0099999999998,199,2010
8209.17,617,6332
7882.08,414,6818
7351.25,623,5663
15954.75,755,14054
4586.48,403,5586
664.84,152,1567
1289.8300000000002,329,2483
554.95,118,1332
499.44000000000005,119,1052
1199.48,226,2348
663.61,161,1448
13862.17,825,3520
17095.66,1123,12805
10451.6,547,3489
15547.75,835,12142
10151.28,818,7826
587.8,20,172
1836.14,247,1320
1718.63,85,555
4944.04,290,2387
2641.36,106,866
2538.81,113,827
4322.47,622,6676
5529.14,835,8323
4061.51,688,6158
3408.03,474,5359
6908.870000000001,407,3436
1201.52,145,757
2141.07,263,1615
12879.460000000001,424,1786
10866.220000000001,771,5163
19125.980000000003,974,9678
1398.1799999999998,111,1066
4080.8499999999995,344,2546
14651.33,828,3734
4302.48,298,1129
17725.36,963,12957
42664.54,1025,36289
4751.06,713,11011
3324.22,467,8010
6013.139999999999,788,14598
30.47,5,6
11199.18,388,1443
2662.64,119,337
2486.6600000000003,123,315
1562.33,167,1201
1325.27,147,1009
1728.24,192,1260
46202.52,1542,24268
49651.99,1619,25608
27368.08,1321,13390
61537.55,2329,29182
8498.61,649,3871
9087.63,625,4116
8275.22,725,4597
13103.21,921,7127
22741.309999999998,1046,7805
12038.82,657,4100
1136.28,221,1672
529.16,149,591
1106.01,204,1789
1307.1,240,1862
358.96999999999997,67,625
2302.81,298,1675
2921.36,267,2293
3164.18,269,2598
263.63,18,211
23734.4,729,3911
4401.44,479,15652
1560.82,171,1055
2420.0299999999997,210,1670
10622.15,808,7046
15236.62,1303,31332
7792.37,950,14570
28081.73,1993,56061
8650.14,676,31337
7129.46,553,26204
10395.88,718,32086
1875.0199999999998,325,6118
7023.95,432,25351
8972.11,919,25523
4786.13,469,13476
3988.0600000000004,385,6417
5820.099999999999,416,7829
6790.7,654,8552
4530.54,497,2453
1927.54,289,1103
6744.8,656,3320
5216.88,577,2849
83.33,1,1
2430.31,233,1413
2076.77,430,4975
2257.0,439,5391
1641.6399999999999,288,3970
1717.47,366,4029
4806.49,845,11297
2665.13,507,6344
7280.76,1101,17602
5197.84,685,12735
493.99,142,1125
418.12,111,980
681.93,128,1603
673.49,94,1617
1731.24,360,4083
695.11,135,1649
3035.7,634,7054
481.0,45,1150
353.0,30,850
1144.3,94,2815
18650.870000000003,555,7540
627.19,128,1738
619.25,125,2197
550.28,89,1940
5981.64,473,14542
2613.5,208,6375
3351.0,261,8250
1166.3,102,2815
1015.75,114,3500
1354.0,115,3300
1317.5,116,3175
1460.5,128,3525
4020.8899999999994,87,4551
655.01,74,361
8179.19,724,4925
656.87,34,607
4011.73,260,3060
795.72,103,520
6639.03,458,4940
5691.41,158,733
19121.37,520,2171
1248.15,126,761
6356.06,356,2303
10592.66,693,6606
6273.84,456,8640
2729.16,273,3435
3019.3199999999997,252,1855
1979.82,276,1112
2164.6299999999997,267,968
5701.49,320,1835
4355.88,256,1530
9231.01,511,2405
8457.89,474,2124
2216.3399999999997,287,2156
4660.69,358,3079
3490.1899999999996,375,2353
31513.109999999997,1751,17238
8449.94,480,3984
8457.84,684,5028
6512.44,519,3887
2761.04,302,1559
12192.05,957,7267
40412.82,1401,13716
25163.56,811,8803
6883.87,230,2538
117760.29000000001,2018,35084
25389.100000000002,847,8475
13076.880000000001,619,4399
10303.35,552,3506
50431.9,1703,16698
2485.86,324,3179
592.91,140,933
1429.8700000000001,275,2346
2649.05,339,3557
3123.03,284,2978
938.86,180,1667
1281.75,242,2064
1952.04,309,2865
1585.46,291,2123
709.5,127,1005
2790.27,116,1909
1191.69,59,1842
1760.6399999999999,71,1746
968.0799999999999,99,1187
1294.7,55,692
1589.98,79,509
4840.59,369,1240
978.74,128,313
13750.11,642,3338
8563.76,512,2609
49771.94,1689,9776
57981.94,1721,11065
22025.93,996,5759
59189.14,1583,11677
5695.1,500,2889
1103.88,198,823
5207.7300000000005,230,1765
3842.07,271,799
5543.87,340,896
10314.189999999999,367,1018
9167.61,438,1481
3290.0800000000004,191,1095
1700.1399999999999,166,655
751.9300000000001,132,298
4089.09,183,653
4153.11,155,3468
4759.59,195,3923
3095.12,174,3246
10991.21,424,9737
9914.89,692,5243
2989.81,388,3345
2258.61,327,2464
1043.58,298,2354
806.15,317,1624
3322.22,265,1989
1508.28,43,606
45882.01,1914,9366
52843.01,2093,10609
8895.210000000001,572,3663
6445.389999999999,503,4300
942.8800000000001,70,446
12382.470000000001,704,5134
2752.6600000000003,197,1306
2633.13,107,1413
17893.579999999998,1132,12828
6480.29,299,3237
